Brand Name,Average Rating
H2O,5.0
Seawolf Technologies,5.0
RomaCostume,5.0
AeroAntenna,5.0
Quick-get,5.0
Phone Baby,5.0
REACH,5.0
AKUA,5.0
Bluboo,5.0
MICROSOFT,5.0
Spicy World,5.0
KINGZONE,5.0
LeEco,5.0
Iridium,5.0
Saliency,5.0
Samsung International,5.0
iPartsBuy,5.0
iNew,5.0
Meizu,5.0
ssiony,5.0
Goldengulf,5.0
TracFone,5.0
Grade - A,5.0
VIP,5.0
GT STAR,5.0
OLA Products,5.0
GOOGLE,5.0
S7 active,5.0
Aeku,5.0
LG Electronic,5.0
SONY ERICSSON,5.0
AT&T,5.0
AMM Global Enterprises,4.888888888888889
Risio,4.875
Ofeely company,4.8076923076923075
SGH-T199,4.8
Samsybg Galaxy,4.75
Samsung Galaxy,4.75
Blue,4.689655172413793
Dupad Story,4.68
Tsing,4.666666666666667
LightInTheBox,4.666666666666667
red,4.636363636363637
EasyN,4.6
SANYO,4.555555555555555
P710,4.533333333333333
Evergreen Flag & Garden,4.533333333333333
Tell,4.523809523809524
Glocalme®,4.502645502645502
Tivax,4.5
KOCASO,4.5
pantech,4.5
bbfone,4.5
ASUS,4.4824016563147
LiteFuze,4.454545454545454
HP Handheld,4.4375
motorola,4.413793103448276
CUBOT,4.4
The NoPhone,4.4
OtterBox,4.383777694329703
Defender,4.37799043062201
Moto X,4.377049180327869
ZTE(USA) Wireless,4.375
Samsung Korea,4.373333333333333
Thetford Marine,4.36734693877551
Tuscan Leveling System,4.333333333333333
LGG,4.333333333333333
Dead Sea Secrets,4.333333333333333
Google,4.324324324324325
Doogee,4.3125
Huawei,4.294736842105263
Motorola X 2nd gen XT1093,4.291666666666667
microsoft,4.285714285714286
Samsung international,4.26530612244898
DTECH,4.2631578947368425
THL,4.25
Lenovo Manufacturer,4.25
HTM,4.25
SAMSUNG,4.247232472324724
q,4.205882352941177
Apple Computer,4.2
Amazon,4.2
Galaxy,4.196428571428571
HUAWEI,4.1796733212341195
Microsoft,4.167857142857143
TOP,4.166666666666667
Kyocera,4.155737704918033
OnePlus,4.1506849315068495
Doro,4.142857142857143
DIKOO,4.142857142857143
CATERPILLAR,4.140845070422535
blu,4.125
Jitterbug,4.102430555555555
ZTE,4.092869982025165
John's,4.090909090909091
asus,4.0754716981132075
LG Electronics,4.069243156199678
PCD,4.066666666666666
Sony Ericsson Mobile,4.063157894736842
"Amazon.com, LLC *** KEEP PORules ACTIVE ***",4.0575
samsung,4.053887289181406
iVAPO,4.048780487804878
Alcatel,4.045968882602546
GreatCall,4.0452830188679245
Sanyo,4.043478260869565
Verizon,4.040404040404041
sony,4.036363636363636
ASUS Computers,4.027816411682893
Mophie,4.0
apple,4.0
Black Berry,4.0
Jiayu,4.0
"Sanyo, Katana",4.0
China,4.0
JHM,4.0
Zte,4.0
Moxee Technologies,4.0
ThL,4.0
winwinzonece,4.0
MANN ZUG S Rugged Phone,4.0
SONY,4.0
Sdeals,4.0
ling,4.0
Google Pixel,4.0
NOKIA,3.9696969696969697
Samsung,3.9623556968378786
Global Services,3.9529411764705884
Sky Devices,3.948717948717949
BLUBOO,3.9473684210526314
Caterpillar,3.9444444444444446
"SyuanTech Co., Ltd",3.9285714285714284
Apple,3.9244148076856975
RCA,3.9221218961625284
Yota,3.9166666666666665
Sony,3.907766990291262
Samssung,3.9056603773584904
Sonim,3.888888888888889
katito,3.875
Ofeely,3.8645161290322583
Samsung Korea LTD,3.860548271752086
Asus,3.858761329305136
Kata,3.85
Eson,3.85
LG,3.8414596065486015
mophie,3.8376068376068377
LBER,3.8333333333333335
blackberry,3.8333333333333335
Nokia,3.8192907295013687
Motorola,3.812849370201983
SonyEricsson,3.8
KVD,3.8
Pantech,3.7997644287396937
BLU,3.7922622059195548
HyRich,3.7906976744186047
Xiaomi,3.789473684210526
RIM,3.7837837837837838
CAT PHONES,3.7796610169491527
GL,3.7777777777777777
SKY Devices,3.7610619469026547
CECTDIGI,3.75
FOSLER COMPANY,3.75
BlackBerry,3.741465149359886
CT-Miami LLC,3.7191011235955056
Palm,3.717948717948718
Inmarsat,3.717391304347826
iRULU,3.716666666666667
Unnecto,3.7142857142857144
XJKJ,3.711864406779661
DOOGEE,3.7010309278350517
Sony Ericsson,3.699421965317919
Blackberry,3.6693227091633465
sony ericsson,3.6666666666666665
samsung galaxy international inc,3.6666666666666665
Samsung/Straight Talk,3.6666666666666665
HOMTOM HT7,3.6666666666666665
TUMI,3.6666666666666665
ECOO,3.6666666666666665
John's Phone,3.6666666666666665
Luxury Phone,3.6666666666666665
SZ Wave,3.6551724137931036
HP,3.6417910447761193
ATT,3.6363636363636362
Posh Mobile,3.631929046563193
verykool,3.6262975778546713
Getnord,3.6
PAE,3.6
Jethro,3.58974358974359
Purplelan,3.5714285714285716
Selected-Gadgets,3.5714285714285716
DK,3.5714285714285716
Neoix,3.5454545454545454
T-Mobile,3.5405405405405403
LG Electronics MobileComm USA,3.5379939209726445
shenzhen jinwanyi company,3.5316455696202533
Ultrabox,3.5200892857142856
KINGWELL,3.5073529411764706
EL GUAPO,3.5
Lumen,3.5
iDROID USA,3.5
Consumer Cellular,3.5
Pharos,3.5
UMI,3.5
Plum Mobile,3.5
Futuretech,3.5
Elephone,3.5
Yezz,3.475845410628019
MOCREO,3.466666666666667
HTC,3.4654196793461174
LGIC,3.4583333333333335
BlueCosmo,3.4545454545454546
Wireless One,3.4545454545454546
ZTE Corporation,3.4545454545454546
GrandElectronics,3.4482758620689653
OUKITEL,3.4444444444444446
CablesOnline,3.4444444444444446
PHAROS,3.4285714285714284
Docooler,3.4166666666666665
Unknown,3.4107142857142856
Lenovo,3.4106753812636166
Leagoo,3.4
Ut Starcom,3.4
Blackberrry,3.3947368421052633
DreamsEden,3.375
htc,3.3694581280788176
Pandaoo,3.3681592039800994
samsung galaxy,3.357142857142857
Smart&Cool,3.3529411764705883
star,3.3448275862068964
BlueSolar,3.3333333333333335
New Nextel Rugged Motorola I680 Cell Phone,3.3333333333333335
Letv,3.3333333333333335
MTM Trading LLC,3.3333333333333335
Junlan,3.3333333333333335
Coolpad,3.3333333333333335
Research in Motion,3.3220338983050848
Indigi®,3.3181818181818183
IPRO Group,3.2857142857142856
"Quality Technology Industrial Co., ltd.",3.2708333333333335
Newsunshine,3.263157894736842
TOTO,3.2526315789473683
PALM,3.230769230769231
Casio,3.224122412241224
IPRO,3.2222222222222223
HOMTOM,3.217391304347826
WEIL TECHNOLOGY (HK) Limited,3.2
Otium,3.1927710843373496
Emporia,3.1875
Star,3.186700767263427
Mango Natural,3.1826923076923075
Fosler Corporation,3.169811320754717
Sony/Ericsson,3.1666666666666665
the Nokia,3.1666666666666665
JIAKE,3.15625
Orbic,3.1544117647058822
"Shenzhen Xin Sheng Shang Technology Co.,Ltd",3.125
UTStarcom,3.125
"SHENZHEN SNOPOW OUTDOOR TECHNOLOGY CO.,LTD",3.111111111111111
Sudroid,3.111111111111111
CNPGD,3.1060017442321413
KOOTION,3.1052631578947367
Certified Refurbished,3.1
Visual Land,3.1
UnAssigned,3.0952380952380953
Kocaso,3.09375
"OTEDA Industrial Co., Limited",3.090909090909091
Acer,3.090909090909091
Sidekick,3.090909090909091
Generic,3.088235294117647
Dell Computers,3.073529411764706
Wmicro,3.0714285714285716
IPRO GROUP,3.03125
FIGO,3.021640091116173
GEEKERA,3.0
Stoga,3.0
GT Star,3.0
TCL Mobile,3.0
Danger Inc.,3.0
VoiceStream,3.0
Blackphone,3.0
KROO,3.0
MEIZU,3.0
VKworld,3.0
goldengulf,3.0
Higoo,3.0
Supersonic,3.0
"BlackBerry Storm 9530 Smartphone Unlocked GSM Wireless Handheld Device w/Camera Bluetooth 3.25"" Touchscreen LCD",3.0
JINHAIHUAHUI,3.0
ARGOM TECH,3.0
Storm,3.0
Blackberry (Rim),3.0
SIAM,3.0
CAT,3.0
Crown,3.0
WorryFree Gadgets,3.0
worryfree,3.0
SVP,2.984375
Turbosight LLD,2.982456140350877
Polaroid,2.979757085020243
CHSLING,2.9461538461538463
amar,2.9411764705882355
CELLALLURE,2.9375
LifeProof,2.9361702127659575
Plum,2.9342327150084317
Cubot,2.9302325581395348
Ulefone,2.9290780141843973
NUU Mobile,2.9166666666666665
LuMen,2.875
Wogiz,2.875
QJO,2.857142857142857
Oukitel,2.8461538461538463
Silent Circle,2.8333333333333335
indigi,2.8219178082191783
ifcane,2.8
JUNING,2.791762013729977
Kivors,2.7777777777777777
HTC America,2.769230769230769
RugGear,2.75
Sonim Technologies,2.75
Jiuhe,2.742857142857143
BLACKBERRY,2.739130434782609
OceanCross,2.72972972972973
JoyGeek,2.7142857142857144
inDigi,2.703488372093023
Que Products,2.6952380952380954
ShopTech4Less,2.6923076923076925
Atoah,2.6666666666666665
Boost Mobile,2.6666666666666665
Victor,2.6666666666666665
e passion,2.64
Huadoo,2.6315789473684212
Sprint,2.625
Rim,2.625
Blackview,2.582089552238806
FiGo,2.5795454545454546
Padgene,2.518664047151277
VEGA,2.5
JANIZZ,2.5
china,2.5
PowerMoxie,2.4545454545454546
Maxwest,2.3333333333333335
SHENZHEN SNOPOW OUTDOOR TECHNOLOGY CO.LTD,2.3333333333333335
Kovee Tech,2.3076923076923075
Jersa,2.302325581395349
Eachbid,2.3
WRTeam,2.2857142857142856
Indigi,2.2285714285714286
iFcane,2.2
Digital SNITCH,2.2
Trait-Tech,2.176470588235294
Unlocked Cell Phone,2.1307692307692307
px phone,2.0714285714285716
Cedar Tree Technologies,2.0
Vostrostone,2.0
ToShare Tech,2.0
Ipro,2.0
CBSKY,2.0
KIKAR,2.0
Android,2.0
Sharp,2.0
SOLE Mobile,1.9333333333333333
Various,1.8888888888888888
Peek,1.8571428571428572
TSJYING,1.838235294117647
lg,1.8333333333333333
GOSO,1.7777777777777777
LandRum,1.5
Nuu Mobile,1.5
Social,1.5
Wool,1.5
GX,1.4285714285714286
Crony,1.3333333333333333
Research In Motion,1.0
Vernee,1.0
MOTOROLA,1.0
nokia,1.0
SENTEL,1.0
Marozi International Ltd,1.0
Conquest S8 Pro 3GB Smartphone (Black),1.0
Concox,1.0
HJ Wireless,1.0
Odysseus,1.0
M-HORSE,1.0
Yezz Wireless Ltd.,1.0
UHAPPY,1.0
